number,time
10,0.08266615867614746
30,0.2998690605163574
50,0.8488340377807617
70,0.6059510707855225
90,0.8150360584259033
110,1.0421099662780762
130,0.9296169281005859
150,1.1576008796691895
170,1.3619368076324463
190,1.652005910873413
210,1.7872567176818848
230,1.9236359596252441
250,1.9592020511627197
270,2.1784799098968506
290,2.7260029315948486
310,2.476167917251587
330,2.5183842182159424
350,2.920964002609253
370,3.080515146255493
390,3.023077964782715
410,3.1836509704589844
430,3.2672760486602783
450,3.5219178199768066
470,3.9144749641418457
490,3.796576738357544
510,4.0438621044158936
530,3.909611940383911
550,4.209175109863281
570,4.473465204238892
590,4.62326717376709
610,4.822758913040161
630,5.247076988220215
650,5.205520868301392
670,5.532119035720825
690,5.5871381759643555
710,5.607040882110596
730,5.834750175476074
750,6.037927865982056
770,5.930175065994263
790,6.790626049041748
